district,region,village,direction,elevator,floor,layout,decoration,year,size,price,perprice
锦江,卓锦城,卓锦城六期 ,东南,有,低楼层,4室1厅,精装,2008,134.0,350.0,26025
锦江,卓锦城,融创四海逸家 ,东北,有,低楼层,5室2厅,精装,2008,87.0,480.0,54820
锦江,红星路,红星国际 ,东南,有,中楼层,1室1厅,精装,2005,49.0,138.0,28112
锦江,莲花,莲花新区北二巷4号 ,西北,无,中楼层,3室1厅,其他,2008,93.0,130.0,13892
锦江,莲花,朝阳逸景 ,西北,有,中楼层,2室1厅,其他,2008,94.0,180.0,19068
锦江,莲花,钢管厂五区 ,东南,无,高楼层,2室1厅,其他,2008,57.0,72.0,12468
锦江,盐市口,皇城公寓 ,东北,有,中楼层,5室1厅,精装,2008,171.0,268.0,15653
锦江,盐市口,城市理想 ,南,有,中楼层,1室0厅,其他,2012,38.0,57.0,14829
锦江,琉璃场,上东家园 ,东,无,高楼层,3室2厅,其他,2008,107.0,130.0,12094
锦江,三圣乡,创意山 ,东东南,有,低楼层,1室1厅,其他,2013,75.0,96.0,12675
锦江,三圣乡,华都美林湾 ,东北,有,中楼层,2室2厅,简装,2012,87.0,158.0,18037
锦江,三圣乡,绿地468公馆二期 ,南,有,高楼层,2室1厅,精装,2013,77.0,170.0,22027
锦江,琉璃场,皇经楼一期 ,东南,暂无数据,低楼层,2室1厅,其他,2013,88.0,99.8,11265
锦江,东湖,翡翠城四期 ,东,有,高楼层,3室2厅,精装,2013,85.0,255.0,29752
锦江,三圣乡,锦江城市花园三期 ,北,有,中楼层,2室2厅,精装,2008,80.0,160.0,19966
锦江,卓锦城,卓锦城二期 ,东南,有,低楼层,2室1厅,其他,2008,94.0,190.0,20213
锦江,蓝谷地,华固一品 ,西南,有,高楼层,3室2厅,其他,2008,82.0,150.0,18280
锦江,九眼桥,东方桂苑 ,西,有,中楼层,1室1厅,精装,2008,58.0,102.0,17327
锦江,川师,比华利国际城一期 ,南,有,中楼层,3室2厅,简装,2008,90.0,165.0,18283
锦江,蓝谷地,蓝谷地天域 ,南,有,高楼层,2室1厅,其他,2017,86.0,145.0,16787
锦江,卓锦城,卓锦城六期 ,东南,有,中楼层,3室1厅,精装,2008,87.0,203.5,23178
锦江,卓锦城,卓锦城二期 ,东南,有,中楼层,2室1厅,简装,2017,96.0,158.0,16304
锦江,水碾河,蜀都花园 ,南,有,高楼层,2室2厅,其他,2017,106.0,180.0,16924
锦江,攀成钢,镏金岁月 ,北,有,高楼层,1室1厅,精装,2017,56.0,135.0,23827
锦江,三圣乡,锦江城市花园二期 ,东南,有,中楼层,2室1厅,其他,2016,50.0,90.0,17805
锦江,合江亭,蓝光郁金香花园广场 ,东,有,高楼层,1室1厅,精装,2017,42.0,80.0,18891
